Codigo;Nome;Unidade;Periodo;Inicio;Ultimo;Fonte;Especial
222;Fundo de renda fixa-curto prazo - Aplicações em títulos estaduais e municipais;u.m.c. (mil);M;02/05/1994;01/11/1995;Sisbacen PFAF360;N
225;Índice de preços ao produtor amplo;Var. % mensal;M;29/02/1944;01/07/2022;FGV;N
229;Índice de preços ao consumidor-série r (IPC-r);Var. % mensal;M;31/07/1994;01/06/1995;IBGE;N
230;Fundo de comodities - Aplicações em direitos creditórios cotas-partes;u.m.c. (mil);M;21/12/1992;01/11/1995;Sisbacen PESP300;N
231;Fundo de comodities - Aplicações em quotas FIEX;u.m.c. (mil);M;21/12/1992;01/11/1995;Sisbacen PESP300;N
232;Fundo de comodities - Outras aplicações;u.m.c. (mil);M;21/12/1992;01/12/1995;Sisbacen PESP300;N
256;Taxa de juros de longo prazo - TJLP;% a.a.;M;01/12/1994;01/09/2022;BCB-Demab;N
272;Índice de preços ao consumidor (IPC-Fipe) - Segunda quadrissemana;Var. % mensal;M;31/01/1991;01/07/2022;Fipe;N
273;Unidade padrão de capital (UPC);u.m.c.;M;31/10/1964;01/09/2018;BCB-Denor;N
386;Fundo FAQFIF CP - Patrimônio líquido;u.m.c. (mil);M;29/09/1995;01/08/1999;Sisbacen PFIF300;N
387;Fundo FAQFIF CP - Captação;u.m.c. (mil);M;29/09/1995;01/08/1999;Sisbacen PFIF300;N
388;Fundo FAQFIF CP - Resgates;u.m.c. (mil);M;29/09/1995;01/08/1999;Sisbacen PFIF300;N
389;Fundo FAQFIF CP - Rentabilidade mensal (%);% a.m.;M;01/08/1995;01/07/1999;Sisbacen PFIF300;N
390;Fundo FAQFIF 30 - Patrimônio líquido;u.m.c. (mil);M;01/08/1995;01/07/1999;Sisbacen PFIF300;N
391;Fundo FAQFIF 30 - Captação;u.m.c. (mil);M;01/08/1995;01/07/1999;Sisbacen PFIF300;N
392;Fundo FAQFIF 30 - Resgates;u.m.c. (mil);M;01/08/1995;01/07/1999;Sisbacen PFIF300;N
393;Fundo FAQFIF 30 - Rentabilidade mensal (%);% a.m.;M;01/08/1995;01/07/1999;Sisbacen PFIF300;N
394;Fundo FAQFIF 60 - Patrimônio líquido;u.m.c. (mil);M;01/08/1995;01/07/1999;Sisbacen PFIF300;N
395;Fundo FAQFIF 60 - Captação;u.m.c. (mil);M;01/08/1995;01/07/1999;Sisbacen PFIF300;N
396;Fundo FAQFIF 60 - Resgates;u.m.c. (mil);M;01/08/1995;01/07/1999;Sisbacen PFIF300;N
397;Fundo FAQFIF 60 - Rentabilidade mensal (%);% a.m.;M;01/08/1995;01/07/1999;Sisbacen PFIF300;N
398;Fundo FAQFIF 90 - Patrimônio líquido;u.m.c. (mil);M;01/08/1995;01/07/1999;Sisbacen PFIF300;N
399;Fundo FAQFIF 90 - Captação;u.m.c. (mil);M;01/08/1995;01/07/1999;Sisbacen PFIF300;N
400;Fundo FAQFIF 90 - Resgates;u.m.c. (mil);M;01/08/1995;01/07/1999;Sisbacen PFIF300;N
401;Fundo FAQFIF 90 - Rentabilidade mensal (%);% a.m.;M;01/08/1995;01/07/1999;Sisbacen PFIF300;N
402;Fundo FAQFIF - Patrimônio líquido (total);u.m.c. (mil);M;01/08/1995;01/12/2004;Sisbacen PFIF300;N
403;Fundo FAQFIF - Captação (total);u.m.c. (mil);M;01/08/1995;01/12/2004;Sisbacen PFIF300;N
404;Fundo FAQFIF - Resgates (total);u.m.c. (mil);M;01/08/1995;01/12/2004;Sisbacen PFIF300;N
433;Índice nacional de preços ao consumidor-amplo (IPCA);Var. % mensal;M;02/01/1980;01/07/2022;IBGE;N
467;Operações de crédito com recursos livres referenciais para taxa de juros (pré-fixada) - Hot money - Saldo sem atraso;u.m.c. (mil);M;31/05/2000;01/12/2012;Sisbacen PESP300;N
468;Operações de crédito com recursos livres referenciais para taxa de juros (pré-fixada) - Hot money - Saldo com atraso de 15 a 30 dias;u.m.c. (mil);M;31/05/2000;01/12/2012;Sisbacen PESP300;N
469;Operações de crédito com recursos livres referenciais para taxa de juros (pré-fixada) - Hot money - Saldo com atraso de 31 a 90 dias;u.m.c. (mil);M;31/05/2000;01/12/2012;Sisbacen PESP300;N
470;Operações de crédito com recursos livres referenciais para taxa de juros (pré-fixada) - Hot money - Saldo com atraso maior que 90 dias;u.m.c. (mil);M;31/05/2000;01/12/2012;Sisbacen PESP300;N
476;Prazo médio das operações de crédito com recursos livres referenciais para taxa de juros (pré-fixada) - Hot money;Dias;M;31/05/2000;01/12/2012;Sisbacen PESP300;N
490;Operações de crédito com recursos livres referenciais para taxa de juros (flutuante) - Hot money - Saldo sem atraso;u.m.c. (mil);M;31/05/2000;01/12/2012;Sisbacen PESP300;N
491;Operações de crédito com recursos livres referenciais para taxa de juros (flutuante) - Hot money - Saldo com atraso de 15 a 30 dias;u.m.c. (mil);M;31/05/2000;01/12/2012;Sisbacen PESP300;N
492;Operações de crédito com recursos livres referenciais para taxa de juros (flutuante) - Hot money - Saldo com atraso de 31 a 90 dias;u.m.c. (mil);M;31/05/2000;01/12/2012;Sisbacen PESP300;N
493;Operações de crédito com recursos livres referenciais para taxa de juros (flutuante) - Hot money - Saldo com atraso maior que 90 dias;u.m.c. (mil);M;31/05/2000;01/12/2012;Sisbacen PESP300;N
499;Prazo médio das operações de crédito com recursos livres referenciais para taxa de juros (flutuante) - Hot money;Dias;M;31/05/2000;01/12/2012;Sisbacen PESP300;N
502;Operações de crédito com recursos livres referenciais para taxa de juros (pré-fixada) - Desconto de duplicatas - Saldo sem atraso;u.m.c. (mil);M;31/05/2000;01/12/2012;Sisbacen PESP300;N
503;Operações de crédito com recursos livres referenciais para taxa de juros (pré-fixada) - Desconto de duplicatas - Saldo com atraso de 15 a 30 dias;u.m.c. (mil);M;31/05/2000;01/12/2012;Sisbacen PESP300;N
504;Operações de crédito com recursos livres referenciais para taxa de juros (pré-fixada) - Desconto de duplicatas - Saldo com atraso de 31 a 90 dias;u.m.c. (mil);M;31/05/2000;01/12/2012;Sisbacen PESP300;N
505;Operações de crédito com recursos livres referenciais para taxa de juros (pré-fixada) - Desconto de duplicatas - Saldo com atraso maior que 90 dias;u.m.c. (mil);M;31/05/2000;01/12/2012;Sisbacen PESP300;N
511;Prazo médio das operações de crédito com recursos livres referenciais para taxa de juros (pré-fixada) - Desconto de duplicatas;Dias;M;31/05/2000;01/12/2012;Sisbacen PESP300;N
513;Operações de crédito com recursos livres referenciais para taxa de juros (pré-fixada) - Desconto de notas promissórias - Saldo sem atraso;u.m.c. (mil);M;31/05/2000;01/12/2012;Sisbacen PESP300;N
514;Operações de crédito com recursos livres referenciais para taxa de juros (pré-fixada) - Desconto de notas promissórias - Saldo com atraso de 15 a 30 dias;u.m.c. (mil);M;31/05/2000;01/12/2012;Sisbacen PESP300;N
515;Operações de crédito com recursos livres referenciais para taxa de juros (pré-fixada) - Desconto de notas promissórias - Saldo com atraso de 31 a 90 dias;u.m.c. (mil);M;31/05/2000;01/12/2012;Sisbacen PESP300;N
516;Operações de crédito com recursos livres referenciais para taxa de juros (pré-fixada) - Desconto de notas promissórias - Saldo com atraso maior que 90 dias;u.m.c. (mil);M;31/05/2000;01/12/2012;Sisbacen PESP300;N
522;Prazo médio das operações de crédito com recursos livres referenciais para taxa de juros (pré-fixada) - Desconto de notas promissórias;Dias;M;31/05/2000;01/12/2012;Sisbacen PESP300;N
524;Operações de crédito com recursos livres referenciais para taxa de juros (pré-fixada) - Capital de giro - Saldo sem atraso;u.m.c. (mil);M;31/05/2000;01/12/2012;Sisbacen PESP300;N
525;Operações de crédito com recursos livres referenciais para taxa de juros (pré-fixada) - Capital de giro - Saldo com atraso de 15 a 30 dias;u.m.c. (mil);M;31/05/2000;01/12/2012;Sisbacen PESP300;N
526;Operações de crédito com recursos livres referenciais para taxa de juros (pré-fixada) - Capital de giro - Saldo com atraso de 31 a 90 dias;u.m.c. (mil);M;31/05/2000;01/12/2012;Sisbacen PESP300;N
527;Operações de crédito com recursos livres referenciais para taxa de juros (pré-fixada) - Capital de giro - Saldo com atraso maior que 90 dias;u.m.c. (mil);M;31/05/2000;01/12/2012;Sisbacen PESP300;N
533;Prazo médio das operações de crédito com recursos livres referenciais para taxa de juros (pré-fixada) - Capital de giro;Dias;M;31/05/2000;01/12/2012;Sisbacen PESP300;N
535;Operações de crédito com recursos livres referenciais para taxa de juros (pós-fixada) - Capital de giro - Saldo sem atraso;u.m.c. (mil);M;31/05/2000;01/12/2012;Sisbacen PESP300;N
536;Operações de crédito com recursos livres referenciais para taxa de juros (pós-fixada) - Capital de giro - Saldo com atraso de 15 a 30 dias;u.m.c. (mil);M;31/05/2000;01/12/2012;Sisbacen PESP300;N
537;Operações de crédito com recursos livres referenciais para taxa de juros (pós-fixada) - Capital de giro - Saldo com atraso de 31 a 90 dias;u.m.c. (mil);M;31/05/2000;01/12/2012;Sisbacen PESP300;N
538;Operações de crédito com recursos livres referenciais para taxa de juros (pós-fixada) - Capital de giro - Saldo com atraso maior que 90 dias;u.m.c. (mil);M;31/05/2000;01/12/2012;Sisbacen PESP300;N
544;Prazo médio das operações de crédito com recursos livres referenciais para taxa de juros (pós-fixada) - Capital de giro;Dias;M;31/05/2000;01/12/2012;Sisbacen PESP300;N
547;Operações de crédito com recursos livres referenciais para taxa de juros (flutuante) - Capital de giro - Saldo sem atraso;u.m.c. (mil);M;31/05/2000;01/12/2012;Sisbacen PESP300;N
548;Operações de crédito com recursos livres referenciais para taxa de juros (flutuante) - Capital de giro - Saldo com atraso de 15 a 30 dias;u.m.c. (mil);M;31/05/2000;01/12/2012;Sisbacen PESP300;N
549;Operações de crédito com recursos livres referenciais para taxa de juros (flutuante) - Capital de giro - Saldo com atraso de 31 a 90 dias;u.m.c. (mil);M;31/05/2000;01/12/2012;Sisbacen PESP300;N
550;Operações de crédito com recursos livres referenciais para taxa de juros (flutuante) - Capital de giro - Saldo com atraso maior que 90 dias;u.m.c. (mil);M;31/05/2000;01/12/2012;Sisbacen PESP300;N
